Image Name,lifecycle segment,category,brand,webid,weather
a_gpo_073018_both1,loyalist,women,Lauren Conrad,,cold
a_gpo_073018_both2,loyalist,women,Lauren Conrad,,hot
a_gpo_073018_both3,loyalist,men,Chaps,,hot
a_gpo_073018_both4,loyalist,men,IZOD,,hot
a_gpo_073018_both5,loyalist,kids,Carters,,cold
a_gpo_073018_both6,loyalist,kids,Carters,,hot
a_gpo_073018_both7,loyalist,home,Keurig,,both
a_gpo_073018_both8,loyalist,home,Instant Pot,,both
a_gpo_073018_loy1,loyalist,women,Apt 9,,cold
a_gpo_073018_loy2,loyalist,women,Sonoma,,cold
a_gpo_073018_loy3,loyalist,women,Apt 9,,hot
a_gpo_073018_loy4,loyalist,women,Sonoma,,hot
a_gpo_073018_loy5,loyalist,men,Sonoma,,cold
a_gpo_073018_loy6,loyalist,men,Lee,,cold
a_gpo_073018_loy7,loyalist,men,New Balance,,cold
a_gpo_073018_loy8,loyalist,men,Apt 9,,hot
a_gpo_073018_loy9,loyalist,juniors/young men,Mudd,,cold
a_gpo_073018_loy10,loyalist,juniors/young men,Urban Pipeline,,cold
a_gpo_073018_loy11,loyalist,juniors/young men,SO,,cold
a_gpo_073018_loy12,loyalist,juniors/young men,Mudd,,hot
a_gpo_073018_loy13,loyalist,juniors/young men,Urban Pipeline,,hot
a_gpo_073018_loy14,loyalist,juniors/young men,SO,,hot
a_gpo_073018_loy15,loyalist,kids,Sonoma,,cold
a_gpo_073018_loy16,loyalist,kids,Jumping Beans,,cold
a_gpo_073018_loy17,loyalist,kids,Mudd,,hot
a_gpo_073018_loy18,loyalist,kids,Jumping Beans,,hot
a_gpo_073018_loy19,loyalist,home,Simple by Design,,both
a_gpo_073018_loy20,loyalist,home,The Big One,,both
a_gpo_073018_loy21,loyalist,home,Sonoma,,both
a_gpo_073018_both1,non-loyalist  (&prospect),women,Lauren Conrad,,cold
a_gpo_073018_both2,non-loyalist  (&prospect),women,Lauren Conrad,,hot
a_gpo_073018_both3,non-loyalist  (&prospect),men,Chaps,,hot
a_gpo_073018_both4,non-loyalist  (&prospect),men,IZOD,,hot
a_gpo_073018_both5,non-loyalist  (&prospect),kids,Carters,,cold
a_gpo_073018_both6,non-loyalist  (&prospect),kids,Carters,,hot
a_gpo_073018_both7,non-loyalist  (&prospect),home,Keurig,,both
a_gpo_073018_both8,non-loyalist  (&prospect),home,Instant Pot,,both
a_gpo_073018_non1,non-loyalist  (&prospect),women,Nike,,cold
a_gpo_073018_non2,non-loyalist  (&prospect),women,Converse,,cold
a_gpo_073018_non3,non-loyalist  (&prospect),women,Under Armour,,cold
a_gpo_073018_non4,non-loyalist  (&prospect),women,Under Armour,,hot
a_gpo_073018_non5,non-loyalist  (&prospect),women,Ray Ban,,hot
a_gpo_073018_non6,non-loyalist  (&prospect),women,Nike,,hot
a_gpo_073018_non7,non-loyalist  (&prospect),men,Adidas,,cold
a_gpo_073018_non8,non-loyalist  (&prospect),men,Under Armour,,cold
a_gpo_073018_non9,non-loyalist  (&prospect),men,Levis,,cold
a_gpo_073018_non10,non-loyalist  (&prospect),men,Nike,,hot
a_gpo_073018_non11,non-loyalist  (&prospect),men,Under Armour,,hot
a_gpo_073018_non12,non-loyalist  (&prospect),men,Adidas,,hot
a_gpo_073018_non13,non-loyalist  (&prospect),juniors/young men,Adidas,,cold
a_gpo_073018_non14,non-loyalist  (&prospect),juniors/young men,Nike,,cold
a_gpo_073018_non15,non-loyalist  (&prospect),juniors/young men,Levis,,cold
a_gpo_073018_non16,non-loyalist  (&prospect),juniors/young men,Adidas,,hot
a_gpo_073018_non17,non-loyalist  (&prospect),juniors/young men,Under Armour,,hot
a_gpo_073018_non18,non-loyalist  (&prospect),juniors/young men,Nike,,hot
a_gpo_073018_non19,non-loyalist  (&prospect),kids,Adidas,,cold
a_gpo_073018_non20,non-loyalist  (&prospect),kids,Converse,,cold
a_gpo_073018_non21,non-loyalist  (&prospect),kids,Under Armour,,cold
a_gpo_073018_non22,non-loyalist  (&prospect),kids,Under Armour,,hot
a_gpo_073018_non23,non-loyalist  (&prospect),kids,Adidas,,hot
a_gpo_073018_non24,non-loyalist  (&prospect),kids,Nike,,hot
a_gpo_073018_non25,non-loyalist  (&prospect),home,Adidas,,both
